FECHA,IVA
2020-01-01,78.4
2020-01-01,31.2
2020-01-01,699.48
2020-01-01,25.52
2020-01-01,76.8
2020-01-01,400.0
2020-01-01,14.15
2020-01-01,855.16
2020-01-01,824.35
2020-01-01,0.0
2020-01-01,0.0
2020-01-01,0.0
2020-01-01,124.37
2020-01-01,146.57
2020-01-01,124.37
2020-01-01,124.37
2020-01-01,396.0
2020-01-01,40.96
2020-01-01,45.12
2020-01-01,476.55
2020-01-01,80.0
2020-01-01,672.0
2020-01-01,0.0
2020-01-01,56.0
2020-01-01,28.44
2020-01-01,8.27
2020-01-01,561.6
2020-01-01,96.0
2020-01-01,82.66
2020-01-01,23.88
2020-01-01,38.57
2020-01-01,224.0
2020-01-01,484.12
2020-01-01,57.6
2020-01-01,182.26
2020-01-01,175.44
2020-01-01,320.0
2020-01-01,269.92
2020-01-01,32.35
2020-01-01,13.66
2020-01-01,15.5
2020-01-01,685.87
2020-01-01,328.16
2020-01-01,300.16
2020-01-01,300.16
2020-01-01,144.0
2020-01-01,0.0
2020-01-01,56.16
2020-01-01,134.07
2020-01-01,50.12
2020-01-01,444.0
2020-01-01,136.8
2020-01-01,52.2
2020-01-01,312.8
2020-01-01,112.39
2020-01-01,0.0
2020-01-01,136.8
2020-01-01,403.84
2020-01-01,13.72
2020-01-01,444.72
2020-01-01,16.97
2020-01-01,576.0
2020-01-01,640.0
2020-01-01,168.0
2020-01-01,24.58
2020-01-01,15.22
2020-01-01,48.48
2020-01-01,0.0
2020-01-01,0.0
2020-01-01,0.0
2020-01-01,0.0
2020-01-01,444.68
2020-01-01,48.0
2020-01-01,0.0
2020-01-01,13.42
2020-01-01,72.0
2020-01-01,42.62
2020-01-01,411.6
2020-01-01,130.13
2020-01-01,11.7
2020-01-01,79.2
2020-01-01,-96.0
2020-01-01,368.0
2020-01-01,36.52
2020-01-01,46.36
2020-01-01,282.24
2020-01-01,852.69
2020-01-01,62.09
2020-01-01,52.06
2020-01-01,0.0
2020-01-01,192.67
2020-01-01,175.41
2020-01-01,121.42
2020-01-01,195.71
2020-01-01,48.0
2020-01-01,211.2
2020-01-01,496.0
2020-01-01,50.34
2020-01-01,55.16
2020-01-01,116.84
2020-01-01,0.0
2020-01-01,23.17
2020-01-01,80.89
2020-01-01,67.4
2020-01-01,13.44
2020-01-01,13.44
2020-01-01,38.3
2020-01-01,522.88
2020-01-01,583.68
2020-01-01,419.93
2020-01-01,296.8
2020-01-01,985.6
2020-01-01,408.0
2020-01-01,25.6
